1 1:5.629491292306771 2:0.6927136561546273 3:5.158747767010497 4:-4.060093183824469 5:-9.057057981021032
0 1:1.7326440609846276 2:0.29985007496251875 3:0.565664385359065 4:-4.360904323953869 5:-13.235991651119779
0 1:2.1130020268306025 2:0.382457929627741 3:0.7215033370114031 4:-4.302990745336543 5:-13.082219606168351
1 1:5.697592824426873 2:0.798954096455549 3:2.3834199442486885 4:-4.001024810632032 5:-11.355263479754072
1 1:3.8680109403789804 2:0.46317739694302923 3:1.381739264491808 4:-4.359843610045778 5:-11.998912132389162
1 1:3.851653793209517 2:0.4606172270842929 3:1.3741018295890433 4:-4.359854446750358 5:-12.004596427702324
0 1:1.9152528470556434 2:0.1984126984126984 3:0.5918998158805184 4:-4.42756724771945 5:-12.586859898660993
0 1:6.600316072621965 2:1.1194522361174972 3:4.997215219611548 4:-4.090819453077272 5:-9.752565585671949
0 1:7.993463479697317 2:1.2229240849611145 3:9.107308389930552 4:-3.9501890020037296 5:-7.9000288356326465
0 1:1.6877347595519119 2:0.18355359765051393 3:0.5525749048542712 4:-4.427751105830383 5:-13.45074758883039
0 1:1.9335492830282237 2:0.20056157240272765 3:0.5983102832005242 4:-4.427542907724008 5:-12.580235081822073
0 1:2.468232891645223 2:0.33500837520938026 3:1.4954715326665688 4:-4.206137473004153 5:-11.494000539986764
0 1:4.01397202571491 2:0.4778044730990709 3:2.656911504795712 4:-4.127407186736632 5:-10.330657239467698
0 1:3.5005357283018492 2:0.4836331575094022 3:2.158929963637239 4:-4.164566435039613 5:-11.117202629938966
0 1:5.573135238761104 2:0.9580649086705328 3:4.27678501013028 4:-4.090944110173894 5:-10.08224929274922
0 1:5.0794392441688085 2:0.8583069930030247 3:3.8314674178591317 4:-4.0911960250613575 5:-10.327554300116333
0 1:1.6877347595519119 2:0.18355359765051393 3:0.5525749048542712 4:-4.427751105830383 5:-13.45074758883039
1 1:10.140914622783002 2:1.45184881530531 3:10.812146934665382 4:-4.058458562784648 5:-7.1237979013773565
1 1:3.6039930469985295 2:0.42265426880811496 3:1.2608516787987376 4:-4.360030505311788 5:-12.087814943110029
0 1:1.834254237054857 2:0.1889644746787604 3:0.5637141103623986 4:-4.4276808163314625 5:-12.616486751678252
0 1:1.6877347595519119 2:0.18355359765051393 3:0.5525749048542712 4:-4.427751105830383 5:-13.45074758883039
1 1:7.991882017645276 2:1.26114438213177 3:6.14135166301099 4:-4.028717619423768 5:-9.554351858622585
0 1:1.6877347595519119 2:0.18355359765051393 3:0.5525749048542712 4:-4.427751105830383 5:-13.45074758883039
1 1:5.7378823591902375 2:0.8076457127473414 3:2.4093485573060813 4:-3.974736489155215 5:-11.334384549201836
0 1:3.310056007657615 2:0.7002801120448179 3:1.3210719363952954 4:-4.02973540030366 5:-12.506724400581302
0 1:4.141636677503244 2:0.7560301748873318 3:3.374905489077082 4:-3.8648103239881975 5:-10.78373512925364
1 1:6.673044927044225 2:0.8756567425569176 3:6.521153762738634 4:-4.125809167053745 5:-8.405154045331857
1 1:4.234133360226319 2:0.5222841225626741 3:1.5580649749501114 4:-4.302043974388947 5:-11.914400955547826
1 1:5.499159068262694 2:0.7570841444949167 3:2.258514547292309 4:-4.125727892276163 5:-11.437920062622677
